naptan_id,station_name,modes,zone,lat,lon
4900ZZLUPRD1,Preston Road Station,tube,4,51.57178,-0.29487
4900ZZLUPSG1,Parsons Green,tube,2,51.47546,-0.20121
4900ZZLUPVL1,Perivale Station,tube,4,51.53677,-0.32401
4900ZZLUPYB1,Putney Bridge Station,tube,2,51.46794,-0.20916
4900ZZLUQBY1,Queensbury Station,tube,4,51.5941,-0.28552
4900ZZLUQWY1,Queensway Station,tube,1,51.51062,-0.18717
4900ZZLURBG1,Redbridge Station,tube,4,51.57628,0.04556
4900ZZLURGP1,Regent's Park Station,tube,1,51.52359,-0.14671
4900ZZLURSG1,Ruislip Gardens Station,tube,5,51.5606,-0.4111
4900ZZLURSM1,Ruislip Manor Station,tube,6,51.57315,-0.41292
4900ZZLURSP1,Ruislip Station,tube,6,51.57158,-0.42133
4900ZZLURSQ1,Russell Square Station,tube,1,51.52318,-0.12435
4900ZZLURVP1,Ravenscourt Park Station,tube,2,51.49406,-0.23656
4900ZZLURVY1,Roding Valley,tube,4,51.61734,0.04355
4900ZZLURYL1,Rayners Lane Station,tube,5,51.57495,-0.37076
4900ZZLURYO1,Royal Oak,tube,2,51.51911,-0.18878
4900ZZLUSBC1,Shepherd's Bush Station,tube,2,51.50462,-0.21814
4900ZZLUSBM1,Shepherd's Bush Market,tube,2,51.5057,-0.22627
4900ZZLUSEA1,South Ealing Station,tube,3,51.50138,-0.30685
4900ZZLUSFB1,Stamford Brook Station,tube,2,51.49499,-0.24678
4900ZZLUSFS1,Southfields Station,tube,3,51.44486,-0.20654
4900ZZLUSGN1,Stepney Green Station,tube,2,51.5218,-0.04661
4900ZZLUSGT1,Southgate Station,tube,4,51.63232,-0.12806
4900ZZLUSHH1,South Harrow Station,tube,5,51.56491,-0.35259
4900ZZLUSJP1,St James's Park Station,tube,1,51.49962,-0.13313
4900ZZLUSJW1,St John's Wood Station,tube,2,51.53454,-0.17415
4900ZZLUSKS1,South Kensington Station,tube,1,51.49384,-0.17304
4900ZZLUSKW1,Stockwell Station,tube,2,51.47225,-0.12266
4900ZZLUSNB1,Snaresbrook Station,tube,4,51.58103,0.02143
4900ZZLUSPU1,St Paul's Station,tube,1,51.51512,-0.09713
4900ZZLUSSQ1,Sloane Square Station,tube,1,51.49249,-0.15663
4900ZZLUSTM1,Stanmore Station,tube,5,51.61973,-0.30317
4900ZZLUSUH1,Sudbury Hill,tube,4,51.55623,-0.33626
4900ZZLUSUT1,Sudbury Town Station,tube,4,51.55037,-0.31592
4900ZZLUSWC1,Swiss Cottage Station,tube,2,51.5436,-0.17511
4900ZZLUSWF1,South Woodford Station,tube,4,51.59193,0.02769
4900ZZLUSWK1,Southwark Station,tube,1,51.50375,-0.10469
4900ZZLUSWN1,South Wimbledon Station,tube,3,51.41527,-0.19251
4900ZZLUTAW1,Totteridge & Whetstone Station,tube,4,51.63018,-0.17928
4900ZZLUTBC1,Tooting Bec Station,tube,3,51.43549,-0.15946
4900ZZLUTBY1,Tooting Broadway Station,tube,3,51.42793,-0.16809
4900ZZLUTCR3,Tottenham Court Road Station,"elizabeth-line, tube",1,51.51625,-0.13062
4900ZZLUTFP1,Tufnell Park Station,tube,2,51.55672,-0.13816
4900ZZLUTMP1,Temple Station,tube,1,51.51101,-0.11397
4900ZZLUTNG1,Turnham Green Station,tube,2,51.49538,-0.25521
4900ZZLUTPN1,Turnpike Lane Station,tube,3,51.59048,-0.1029
4900ZZLUTWH1,Tower Hill,tube,1,51.5102,-0.07681
4900ZZLUUPB1,Upminster Bridge Station,tube,6,51.55901,0.23587
4900ZZLUUPK1,Upton Park Station,tube,3,51.53548,0.03521
4900ZZLUUPY1,Upney Station,tube,4,51.53849,0.10156
4900ZZLUUXB1,Uxbridge Station,tube,6,51.54605,-0.47922
4900ZZLUVIC6,Victoria Station,tube,1,51.49555,-0.14197
4900ZZLUVXL1,Vauxhall,tube,1,51.48631,-0.12458
4900ZZLUWCY1,White City Station,tube,2,51.51196,-0.22474
4900ZZLUWFN1,West Finchley Station,tube,4,51.60958,-0.18863
4900ZZLUWHP1,West Hampstead Station,tube,2,51.54677,-0.19102
4900ZZLUWHW1,West Harrow Station,tube,5,51.58015,-0.35312
4900ZZLUWIG1,Willesden Green Station,tube,2,51.54924,-0.22094
4900ZZLUWIP1,Wimbledon Park,tube,3,51.43462,-0.19962
